"Designator","Comment","Datasheet","Footprint","JLCPCB Footprint","LCSC Part Number"
"H1","MountingHole","~","MountingHole:MountingHole_3.2mm_M3_ISO14580_Pad_TopBottom","",""
"H2","MountingHole","~","MountingHole:MountingHole_3.2mm_M3_ISO14580_Pad_TopBottom","",""
"H3","MountingHole","~","MountingHole:MountingHole_3.2mm_M3_ISO14580_Pad_TopBottom","",""
"H4","MountingHole","~","MountingHole:MountingHole_3.2mm_M3_ISO14580_Pad_TopBottom","",""
"J1","Screw_Terminal_01x02","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2301061230_DORABO-DB127V-5-08-2P-GN-S_C3018698.pdf","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","THT","C3018698"
"R1","10k","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579705876598476800","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1206","C17902"
"R2","82k","https://www.lcsc.com/datasheet/lcsc_datasheet_2206010145_UNI-ROYAL-Uniroyal-Elec-1206W4F8202T5E_C17979.pdf","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1206","C17979"
"R3","10k","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_TyoHM-RN1-4W10KFT-BA1_C410695.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal","THT","C410695"
"R4","82k","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_VO-MF1-4W-82K-1--OT26_C601724.pdf","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal","THT","C601724"
"TP1","TestPoint","~","TestPoint:TestPoint_Pad_D2.5mm","",""
"TP2","TestPoint","~","TestPoint:TestPoint_Pad_D2.5mm","",""
